,Brand,Model,Gear,KM,Energie,Year,Price,state,region,Category
1321,RENAULT,KADJAR,AUTOMATIQUE,60425,DIESEL,2019,19240.0,Occitanie,Haute-Garonne,Second-Hand
1322,RENAULT,CLIO,MANUELLE,7106,ESSENCE,2021,14430.0,Île-de-France,Yvelines,Second-Hand
1323,RENAULT,MEGANE,MANUELLE,48488,ESSENCE,2020,17260.0,Île-de-France,Hauts-de-Seine,Second-Hand
1324,RENAULT,MEGANE,AUTOMATIQUE,72886,DIESEL,2020,16320.0,Centre-Val de Loire,Eure-et-Loir,Second-Hand
1325,RENAULT,MEGANE,AUTOMATIQUE,11,DIESEL,2021,25510.0,Bretagne,Ille-et-Vilaine,New
1326,RENAULT,KADJAR,AUTOMATIQUE,25937,DIESEL,2019,20550.0,Île-de-France,Yvelines,Second-Hand
1327,RENAULT,KADJAR,MANUELLE,45827,DIESEL,2019,17490.0,Centre-Val de Loire,Eure-et-Loir,Second-Hand
1328,RENAULT,MEGANE,MANUELLE,28821,ESSENCE,2020,18060.0,Île-de-France,Yvelines,Second-Hand
1329,PEUGEOT,308,AUTOMATIQUE,19776,DIESEL,2020,26140.0,Hauts-de-France,Nord,Second-Hand
1330,PEUGEOT,208,AUTOMATIQUE,26558,ESSENCE,2019,16520.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1331,PEUGEOT,108,MANUELLE,6215,ESSENCE,2020,13640.0,Hauts-de-France,Nord,Second-Hand
1332,PEUGEOT,208,MANUELLE,12,ESSENCE,2021,22980.0,Île-de-France,Val-de-Marne,New
1333,PEUGEOT,208,MANUELLE,14860,ESSENCE,2020,17340.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1334,PEUGEOT,208,MANUELLE,56006,DIESEL,2020,12280.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1335,PEUGEOT,108,MANUELLE,10268,ESSENCE,2018,10530.0,Normandie,Seine-Maritime,Second-Hand
1336,PEUGEOT,208,MANUELLE,45626,ESSENCE,2019,13780.0,Île-de-France,Paris,Second-Hand
