,Brand,Model,Gear,KM,Category,Energie,Year,Price,longitude,latitude,State
160,TOYOTA,C-HR,AUTOMATIQUE,44750,Second-Hand,HYBRIDE,2019,24980.0,0.4747134999999999,44.8463222,NOUVELLE-AQUITAINE
161,TOYOTA,C-HR,AUTOMATIQUE,12,New,HYBRIDE,2021,30940.0,-1.616473,48.1063327,BRETAGNE
162,TOYOTA,YARIS,AUTOMATIQUE,12,New,HYBRIDE,2021,24760.0,4.9206997,45.66857630000001,AUVERGNE-RHÔNE-ALPES
163,TOYOTA,YARIS,AUTOMATIQUE,12,New,HYBRIDE,2021,25810.0,4.9206997,45.66857630000001,AUVERGNE-RHÔNE-ALPES
164,VOLKSWAGEN,UP!,MANUELLE,76268,Second-Hand,ESSENCE,2016,7940.0,1.0465014000000001,49.4180309,NORMANDIE
165,VOLKSWAGEN,GOLF,MANUELLE,134243,Second-Hand,DIESEL,2018,16050.0,0.7671490000000001,45.1825438,NOUVELLE-AQUITAINE
166,VOLKSWAGEN,GOLF,AUTOMATIQUE,11117,Second-Hand,DIESEL,2021,31850.0,2.2384215,48.903225299999995,ÎLE-DE-FRANCE
167,VOLKSWAGEN,POLO,MANUELLE,47085,Second-Hand,DIESEL,2019,15030.0,5.3954276,43.2629459,PROVENCE-ALPES-CÔTE D'AZUR
168,VOLKSWAGEN,GOLF,AUTOMATIQUE,7170,Second-Hand,DIESEL,2021,33190.0,4.8520042000000005,46.7418472,BOURGOGNE-FRANCHE-COMTÉ
169,VOLKSWAGEN,T-ROC,MANUELLE,28026,Second-Hand,ESSENCE,2020,24150.0,5.037298000000002,43.436943,PROVENCE-ALPES-CÔTE D'AZUR
170,VOLKSWAGEN,GOLF,AUTOMATIQUE,28162,Second-Hand,DIESEL,2021,29800.0,2.0123747,48.7714685,ÎLE-DE-FRANCE
171,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,106327,Second-Hand,DIESEL,2018,28830.0,4.7481599,46.10176970000001,AUVERGNE-RHÔNE-ALPES
172,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,38841,Second-Hand,DIESEL,2020,40530.0,0.7671490000000001,45.1825438,NOUVELLE-AQUITAINE
173,VOLKSWAGEN,GOLF,AUTOMATIQUE,29443,Second-Hand,DIESEL,2020,19590.0,1.0465014000000001,49.4180309,NORMANDIE
174,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,29914,Second-Hand,DIESEL,2019,38220.0,3.086951,50.58636,HAUTS-DE-FRANCE
175,VOLKSWAGEN,POLO,AUTOMATIQUE,53176,Second-Hand,DIESEL,2019,19930.0,3.086951,50.58636,HAUTS-DE-FRANCE
176,RENAULT,CLIO,MANUELLE,40361,Second-Hand,DIESEL,2018,13660.0,0.3572301,45.0368494,NOUVELLE-AQUITAINE
177,RENAULT,CLIO,MANUELLE,20383,Second-Hand,ESSENCE,2020,15320.0,2.0123747,48.7714685,ÎLE-DE-FRANCE
178,RENAULT,CAPTUR,MANUELLE,88761,Second-Hand,DIESEL,2017,15610.0,0.7671490000000001,45.1825438,NOUVELLE-AQUITAINE
