,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region,Scoring
7573,PEUGEOT,108,MANUELLE,18933,Second-Hand,ESSENCE,2017,9300.0,38000,5.7224,45.1715,GRENOBLE,AUVERGNE-RHÔNE-ALPES,ISÈRE,6.36
7574,PEUGEOT,208,MANUELLE,14684,Second-Hand,ESSENCE,2019,11999.0,33260,-1.1406,44.6287,LA TESTE-DE-BUCH,NOUVELLE-AQUITAINE,GIRONDE,6.82
7575,PEUGEOT,308,MANUELLE,109553,Second-Hand,DIESEL,2017,11790.0,13800,4.9833,43.5167,ISTRES,PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE,4.55
7576,PEUGEOT,308,MANUELLE,77561,Second-Hand,DIESEL,2016,12990.0,34120,3.4235833333333328,43.434,"LÉZIGNAN-LA-CÈBE, CASTELNAU-DE-GUERS, NÉZIGNAN-L’ÉVÊQUE, PÉZENAS, CAZOULS-D’HÉRAULT, TOURBES",OCCITANIE,HÉRAULT,5.0
7577,PEUGEOT,208,MANUELLE,26398,Second-Hand,ESSENCE,2019,11799.0,37540,0.6667,47.4,SAINT-CYR-SUR-LOIRE,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,6.36
7578,PEUGEOT,3008,MANUELLE,9500,Second-Hand,ESSENCE,2020,32699.0,16430,0.14593333333333333,45.7167,"BALZAC, VINDELLE, CHAMPNIERS",NOUVELLE-AQUITAINE,CHARENTE,7.27
7579,PEUGEOT,308,AUTOMATIQUE,2000,Second-Hand,ESSENCE,2021,28990.0,26100,5.0562,45.0464,ROMANS-SUR-ISÈRE,AUVERGNE-RHÔNE-ALPES,DRÔME,8.64
7580,PEUGEOT,208,AUTOMATIQUE,7895,Second-Hand,ESSENCE,2020,21499.0,16430,0.14593333333333333,45.7167,"BALZAC, VINDELLE, CHAMPNIERS",NOUVELLE-AQUITAINE,CHARENTE,8.18
7581,PEUGEOT,2008,MANUELLE,111300,Second-Hand,ESSENCE,2016,10474.0,51100,4.0333,49.25,REIMS,GRAND EST,MARNE,4.55
7582,PEUGEOT,308,MANUELLE,13587,Second-Hand,ESSENCE,2020,19990.0,59223,3.1213,50.7533,RONCQ,HAUTS-DE-FRANCE,NORD,7.27
7583,PEUGEOT,308,MANUELLE,1819,Second-Hand,DIESEL,2021,26999.0,41260,1.3676,47.6162,LA CHAUSSÉE-SAINT-VICTOR,CENTRE-VAL DE LOIRE,LOIR-ET-CHER,7.73
